munro,region,height,first_route_title,first_route_url,time_hours_min,time_hours_max,distance_km,ascent,scramble,exposed,spate,bog,river,pathless,toilet,bothy,pub,car_park,deer_fence,ascents,rating
Ben Cruachan,Argyll,1126,Ben Cruachan and Stob Dàimh circuit,https://www.walkhighlands.co.uk/argyll/ben-cruachan.shtml,8,9,13.75,1376,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,11740,4.39
Ben Hope,Sutherland,927,Ben Hope from Strathmore,https://www.walkhighlands.co.uk/sutherland/ben-hope.shtml,4,6,7.5,946,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,9960,3.8099999999999996
Ben Klibreck,Sutherland,962,Ben Klibreck from Strath Vagastie,https://www.walkhighlands.co.uk/sutherland/ben-klibreck.shtml,5,7,14.25,930,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6719,3.3499999999999996
Ben Lawers,Perthshire,1214,Ben Lawers and Beinn Ghlas,https://www.walkhighlands.co.uk/perthshire/ben-lawers.shtml,4,6,11,942,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,25719,3.92
Ben Lomond,Loch Lomond,974,Ben Lomond from Rowardennan,https://www.walkhighlands.co.uk/lochlomond/ben-lomond.shtml,4.5,5.5,12,990,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,31871,3.82
Ben Lui,Argyll,1130,Ben Lui and Beinn a' Chlèibh from Glen Lochay,https://www.walkhighlands.co.uk/argyll/ben-lui.shtml,5,7,10,1078,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,13793,4.14
Ben Macdui,Cairngorms,1309,Ben Macdui and Cairngorm from the ski centre,https://www.walkhighlands.co.uk/cairngorms/macdui-cairngorm.shtml,6,8,17.5,932,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,17698,3.8699999999999997
Ben More,Loch Lomond,1174,Ben More and Stob Binnein from Benmore Farm,https://www.walkhighlands.co.uk/lochlomond/ben-more.shtml,6,8,12,1335,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,16164,3.8
Ben More (Mull),Isle of Mull,966,Ben More from Dhiseig,https://www.walkhighlands.co.uk/mull/ben-more-mull.shtml,5,6.5,9.25,945,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8821,4.08
Ben More Assynt,Ullapool,998,Ben More Assynt and Conival from Inchnadamph,https://www.walkhighlands.co.uk/ullapool/benmoreassynt.shtml,8.5,10,17.25,1077,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,7205,3.9699999999999998
Ben Nevis,Fort William,1345,Ben Nevis via the Mountain Path,https://www.walkhighlands.co.uk/fortwilliam/bennevis.shtml,7,9,17,1352,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,27489,3.96
Ben Oss,Argyll,1029,Ben Oss and Beinn Dubhchraig from Dalrigh,https://www.walkhighlands.co.uk/argyll/ben-oss.shtml,7,8,17,1230,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,10629,3.4299999999999997
Ben Starav,Fort William,1078,Ben Starav and Glas Bheinn Mhòr from Glen Etive,https://www.walkhighlands.co.uk/fortwilliam/benstarav.shtml,8,9,16,1423,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7687,4.3
Ben Vane,Loch Lomond,915,Ben Vane from Inveruglas,https://www.walkhighlands.co.uk/lochlomond/ben-vane.shtml,4.5,6.5,11,930,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,17485,3.71
Ben Vorlich (Loch Earn),Perthshire,985,Ben Vorlich and Stùc a' Chròin from Ardvorlich,https://www.walkhighlands.co.uk/perthshire/ben-vorlich.shtml,6,7,14.5,1145,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,24498,3.38
Ben Vorlich (Loch Lomond),Loch Lomond,943,Ben Vorlich from Inveruglas via Loch Sloy,https://www.walkhighlands.co.uk/lochlomond/ben-vorlich-lomond.shtml,5,6.5,13.5,945,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,17853,3.4899999999999998
Ben Wyvis,Loch Ness,1046,Ben Wyvis from near Garbat,https://www.walkhighlands.co.uk/lochness/Benwyvis.shtml,4.5,5.5,14,935,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,12575,3.3699999999999997
Bidean nam Bian,Fort William,1150,Bidean nam Bian via Coire nan Lochain and the Lost Valley,https://www.walkhighlands.co.uk/fortwilliam/bideannambian.shtml,7,9,11,1316,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,12552,4.57
Bidein a' Choire Sheasgaich,Torridon,945,"Lurg Mhòr and Bidein a' Choire Sheasgaich, from Attadale via Bendronaig Lodge",https://www.walkhighlands.co.uk/torridon/bideinachoiresheasgaich.shtml,16,16,38,1530,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,3074,4.02
Bidein a' Ghlas Thuill (An Teallach),Ullapool,1062,"An Teallach traverse, Dundonnell",https://www.walkhighlands.co.uk/ullapool/anteallach.shtml,9,10,20,1415,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,7358,4.52
Binnein Beag,Fort William,943,Sgùrr Èilde Mòr and Binnein Beag from Kinlochleven,https://www.walkhighlands.co.uk/fortwilliam/sgurreildemor.shtml,9,11,20,1582,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,6100,3.69
Binnein Mòr,Fort William,1130,Binnein Mòr and Na Gruagaichean,https://www.walkhighlands.co.uk/fortwilliam/binneinmor.shtml,7,9,14,1336,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,7416,4.18
Blà Bheinn,Isle of Skye,928,Blà Bheinn via the normal route from Loch Slapin,https://www.walkhighlands.co.uk/skye/blabheinn.shtml,5,6,8,990,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,8951,4.57
Braeriach,Cairngorms,1296,Cairn Toul and Braeriach traverse,https://www.walkhighlands.co.uk/cairngorms/cairn-toul.shtml,13,13,36,1820,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,10114,4.26
Bràigh Coire Chruinn-bhalgain,Perthshire,1070,Beinn a' Ghlò from Loch Moraig,https://www.walkhighlands.co.uk/perthshire/beinn-a-ghlo.shtml,8,10,22,1239,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,12488,3.58
Broad Cairn,Cairngorms,998,"Creag an Dubh Loch and Broad Cairn, Glenmuick",https://www.walkhighlands.co.uk/cairngorms/creag-an-dubh-loch.shtml,7,8,23,813,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,13944,3.09
Bruach na Frìthe,Isle of Skye,958,Am Basteir,https://www.walkhighlands.co.uk/skye/ambasteir.shtml,6,7,14,1175,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6959,4.1899999999999995
Bynack More,Cairngorms,1090,Bynack More from Glenmore Lodge,https://www.walkhighlands.co.uk/cairngorms/bynackmore.shtml,6.5,7.5,22.5,756,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,11549,3.7
Cairn Bannoch,Cairngorms,1012,Creag an Dubh-loch,https://www.walkhighlands.co.uk/cairngorms/creag-an-dubh-loch.shtml,7,8,23,813,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,13226,2.58
Cairn Gorm,Cairngorms,1245,Ben Macdui and Cairngorm from the ski centre,https://www.walkhighlands.co.uk/cairngorms/macdui-cairngorm.shtml,6,8,17.5,932,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,20684,3.04
Cairn of Claise,Cairngorms,1064,Glas Maol Munros from the Cairnwell Pass,https://www.walkhighlands.co.uk/cairngorms/glas-maol.shtml,6.5,7.5,19.25,891,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,16220,2.4099999999999997
Cairn Toul,Cairngorms,1291,Cairn Toul and Braeriach traverse,https://www.walkhighlands.co.uk/cairngorms/cairn-toul.shtml,13,13,36,1820,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,8617,4.1
Càrn a' Chlamain,Perthshire,963,Càrn a' Chlamain from Glen Tilt,https://www.walkhighlands.co.uk/perthshire/carn-a-chlamain.shtml,7,9,26,930,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,7895,3.2600000000000002
Càrn a' Choire Bhòidheach,Cairngorms,1110,"White Mounth Munros, Glen Muick",https://www.walkhighlands.co.uk/cairngorms/white-mounth.shtml,9,11,29,1228,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,13098,2.4299999999999997
Càrn a' Ghèoidh,Cairngorms,975,The Cairnwell Munros,https://www.walkhighlands.co.uk/cairngorms/cairnwell.shtml,5,6,13,595,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,17956,2.84
Càrn a' Mhàim,Cairngorms,1037,Càrn a'Mhàim from the Linn of Dee,https://www.walkhighlands.co.uk/cairngorms/carn-a-mhaim.shtml,6,7,22.5,648,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,8793,3.86
Càrn an Fhìdhleir (Càrn Ealar),Cairngorms,994,An Scarsoch and Càrn an Fhìdhleir from the Linn of Dee,https://www.walkhighlands.co.uk/cairngorms/an-sgarsoch.shtml,11,12,42,1059,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,4839,2.7600000000000002
Càrn an Rìgh,Perthshire,1029,Glas Tulaichean and Càrn an Rìgh from the Spittal of Glenshee,https://www.walkhighlands.co.uk/perthshire/glas-tulaichean.shtml,8,10,27,1085,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7321,2.8099999999999996
Càrn an t-Sagairt Mòr,Cairngorms,1047,Lochnagar,https://www.walkhighlands.co.uk/cairngorms/lochnagar.shtml,6,7,19,930,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,13242,2.61
Càrn an Tuirc,Cairngorms,1019,Glas Maol Munros from the Cairnwell Pass,https://www.walkhighlands.co.uk/cairngorms/glas-maol.shtml,6.5,7.5,19.25,891,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,16303,2.7800000000000002
Càrn Aosda,Cairngorms,915,The Cairnwell Munros,https://www.walkhighlands.co.uk/cairngorms/cairnwell.shtml,5,6,13,595,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,19357,2.15
Càrn Bhac,Cairngorms,946,Beinn Iutharn Mhòr and Càrn Bhac from Inverey,https://www.walkhighlands.co.uk/cairngorms/beinn-iutharn-mhor.shtml,9,10,32,983,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,6468,2.66
Càrn Dearg (Corrour),Fort William,941,Càrn Dearg and Sgòr Gaibhre from Corrour Station,https://www.walkhighlands.co.uk/fortwilliam/sgor-gaibhre.shtml,7,8,21.75,973,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5614,3.19
Càrn Dearg (Loch Pattack),Cairngorms,1034,"Aonach Beag, Geal Chàrn, Beinn Èibhinn and Càrn Dearg from Culra",https://www.walkhighlands.co.uk/cairngorms/aonach-beag.shtml,8,9,18.5,1110,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,4631,3.04
Càrn Dearg (Monadhliath),Cairngorms,945,"The Monadhliath Munros: a' Chailleach, Càrn Sgulain and Càrn Dearg from Glen Banchor",https://www.walkhighlands.co.uk/cairngorms/monadhliath.shtml,8,10,24.5,946,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8289,3.21
Càrn Eige,Loch Ness,1183,"Càrn Eige, Mam Sodhail and Beinn Fhionnlaidh from Glen Affric",https://www.walkhighlands.co.uk/lochness/carn-eige.shtml,10,13,28,1727,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4408,3.74
Càrn Ghluasaid,Kintail,957,Sgùrr nan Conbhairean from Loch Cluanie,https://www.walkhighlands.co.uk/kintail/sgurrnanconbhairean.shtml,7,8,17.5,1260,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6668,3.04
Càrn Gorm,Perthshire,1029,Càrn Mairg circuit from Invervar,https://www.walkhighlands.co.uk/perthshire/carn-mairg.shtml,7,8,17.5,1330,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,14624,3.03
Càrn Liath (Beinn a' Ghlò),Perthshire,975,Beinn a' Ghlò from Loch Moraig,https://www.walkhighlands.co.uk/perthshire/beinn-a-ghlo.shtml,8,10,22,1239,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,13626,3.3499999999999996
Càrn Liath (Creag Meagaidh),Fort William,1006,Creag Meagaidh Munros circuit,https://www.walkhighlands.co.uk/fortwilliam/creagmeagaidh.shtml,8,10,21,1080,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,9419,2.77
Càrn Mairg,Perthshire,1042,Càrn Mairg circuit from Invervar,https://www.walkhighlands.co.uk/perthshire/carn-mairg.shtml,7,8,17.5,1330,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,14150,3.15
Càrn Mòr Dearg,Fort William,1220,Ben Nevis via the Càrn Mòr Dearg Arête,https://www.walkhighlands.co.uk/fortwilliam/carnmordeargarete.shtml,10,11,17.5,1506,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,10866,4.25
Càrn na Caim,Cairngorms,941,Càrn na Caim and A' Bhuidheanach Bheag from Drumochter,https://www.walkhighlands.co.uk/cairngorms/carn-na-caim.shtml,5,6,19,824,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10662,2.21
Càrn nan Gabhar,Perthshire,1121,Beinn a' Ghlò from Loch Moraig,https://www.walkhighlands.co.uk/perthshire/beinn-a-ghlo.shtml,8,10,22,1239,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,11894,3.9099999999999997
Càrn nan Gobhar (Loch Mullardoch),Loch Ness,992,The Loch Mullardoch Munros circuit,https://www.walkhighlands.co.uk/lochness/mullardoch-munros.shtml,11,14,29.2,1820,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,4176,2.84
Càrn nan Gobhar (Strathfarrar),Loch Ness,992,Circuit of the Strathfarrar Munros,https://www.walkhighlands.co.uk/lochness/strathfarrar-munros.shtml,7,10,25,1567,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4850,2.9499999999999997
Càrn Sgulain,Cairngorms,920,"The Monadhliath Munros: a' Chailleach, Càrn Sgulain and Càrn Dearg from Glen Banchor",https://www.walkhighlands.co.uk/cairngorms/monadhliath.shtml,8,10,24.5,946,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8599,2.03
Chno Dearg,Fort William,1046,Chno Dearg and Stob Coire Sgriodain from Fersit,https://www.walkhighlands.co.uk/fortwilliam/chnodearg.shtml,6,7,13.5,915,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7206,2.71
Ciste Dhubh,Kintail,979,Ciste Dhubh and Am Bathach from the Cluanie Inn,https://www.walkhighlands.co.uk/kintail/Cistedhubh.shtml,5,7,12.5,1040,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5532,3.9899999999999998
Cona' Mheall,Ullapool,978,Beinn Dearg Munros circuit from Inverlael,https://www.walkhighlands.co.uk/ullapool/beinndearg.shtml,9,11,27,1569,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,5726,3.8099999999999996
Conival,Ullapool,987,Ben More Assynt and Conival from Inchnadamph,https://www.walkhighlands.co.uk/ullapool/benmoreassynt.shtml,8.5,10,17.25,1077,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,7463,3.7600000000000002
Creag a'Mhàim,Kintail,947,South Glen Shiel Ridge walk,https://www.walkhighlands.co.uk/kintail/Glenshielridge.shtml,9,11,26.75,1818,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8858,3.24
Creag Leacach,Cairngorms,987,Glas Maol Munros from the Cairnwell Pass,https://www.walkhighlands.co.uk/cairngorms/glas-maol.shtml,6.5,7.5,19.25,891,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,15911,3.38
Creag Meagaidh,Fort William,1128,Creag Meagaidh Munros circuit,https://www.walkhighlands.co.uk/fortwilliam/creagmeagaidh.shtml,8,10,21,1080,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,9548,4.09
Creag Mhòr (Glen Lochay),Perthshire,1047,Beinn Heasgarnich and Creag Mhòr from Glen Lochay,https://www.walkhighlands.co.uk/perthshire/beinn-heasgarnich.shtml,9,11,25.75,1470,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,5433,3.06
Creag Mhòr (Meall na Aighean),Perthshire,981,Càrn Mairg circuit from Invervar,https://www.walkhighlands.co.uk/perthshire/carn-mairg.shtml,7,8,17.5,1330,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,13883,2.9099999999999997
Creag nan Dàmh,Kintail,918,South Glen Shiel Ridge walk,https://www.walkhighlands.co.uk/kintail/Glenshielridge.shtml,9,11,26.75,1818,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8291,3.2
Creag Pitridh,Fort William,924,"Beinn a' Chlachair, Geal Chàrn & Creag Pitridh from Loch Laggan",https://www.walkhighlands.co.uk/fortwilliam/beinn-a-chlachair.shtml,8,10,26,1275,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6230,3.18
Creise,Fort William,1100,Meall a'Bhùiridh and Creise from the White Corries ski centre,https://www.walkhighlands.co.uk/fortwilliam/creise.shtml,5,7,10.5,1093,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,9764,4.02
Cruach Àrdrain,Loch Lomond,1046,Cruach Àrdrain and Beinn Tulaichean from Inverlochlarig,https://www.walkhighlands.co.uk/lochlomond/cruach-ardrain.shtml,6,7,12.5,1019,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,13076,3.57
