Running No,DoBIH Number,Streetmap,Geograph,Hill-bagging,Name,SMC Section,RHB Section,_Section,Height (m),Height (ft),Map 1:50k,Map 1:25k,Grid Ref,GridRefXY,xcoord,ycoord,1953,1969,1974,1981,1984,1990,1997,Post 1997,Comment
195,987,"http://www.streetmap.co.uk/newmap.srf?x=180361&y=845039&z=3&sv=180361,845039&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NG8036145039,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=987,Beinn Bhan,13,13B,13.2,896,2940,24,428N 428S,NG803450,NG8036145039,180361,845039,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,
196,988,"http://www.streetmap.co.uk/newmap.srf?x=192145&y=848064&z=3&sv=192145,848064&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NG9214548064,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=988,An Ruadh-stac,13,13B,13.2,892,2927,25,429,NG921480,NG9214548064,192145,848064,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,
197,989,"http://www.streetmap.co.uk/newmap.srf?x=196909&y=853149&z=3&sv=196909,853149&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NG9690953149,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=989,Sgorr nan Lochan Uaine,13,13B,13.2,871,2858,25,429,NG969531,NG9690953149,196909,853149,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,
198,990,"http://www.streetmap.co.uk/newmap.srf?x=179662&y=841752&z=3&sv=179662,841752&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NG7966241752,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=990,Sgurr a'Chaorachain,13,13B,13.2,792,2598,24,428S,NG796417,NG7966241752,179662,841752,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,
199,991,"http://www.streetmap.co.uk/newmap.srf?x=197909&y=855791&z=3&sv=197909,855791&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NG9790955791,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=991,Sgurr Dubh,13,13B,13.2,782,2566,25,429 433,NG979557,NG9790955791,197909,855791,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,
200,1023,"http://www.streetmap.co.uk/newmap.srf?x=201853&y=875655&z=3&sv=201853,875655&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NH0185375655,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1023,Ruadh Stac Mor,14,14A,14.1,918.7,3014,19,433 435S,NH018756,NH0185375655,201853,875655,CORBETT,CORBETT,,,,,,,Reclassified as Munro
201,1024,"http://www.streetmap.co.uk/newmap.srf?x=206135&y=877581&z=3&sv=206135,877581&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NH0613577581,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1024,Beinn a'Chlaidheimh,14,14A,14.1,913.96,2999,19,435N 435S,NH061775,NH0613577581,206135,877581,CORBETT,CORBETT,,,,,,CORBETT,Reclassified from Munro to Corbett in Nov 2012 following survey in 2010
202,1025,"http://www.streetmap.co.uk/newmap.srf?x=203217&y=879939&z=3&sv=203217,879939&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NH0321779939,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1025,Beinn Dearg Mor,14,14A,14.1,906.28,2973,19,435N 435S,NH032799,NH0321779939,203217,879939,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,
203,1026,"http://www.streetmap.co.uk/newmap.srf?x=198158&y=873278&z=3&sv=198158,873278&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NG9815873278,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1026,Beinn Lair,14,14A,14.1,859,2818,19,433,NG981732,NG9815873278,198158,873278,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,
204,1027,"http://www.streetmap.co.uk/newmap.srf?x=198251&y=878554&z=3&sv=198251,878554&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NG9825178554,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1027,Beinn a'Chaisgein Mor,14,14A,14.1,856,2808,19,435N,NG982785,NG9825178554,198251,878554,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,
205,1028,"http://www.streetmap.co.uk/newmap.srf?x=201995&y=881134&z=3&sv=201995,881134&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NH0199581134,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1028,Beinn Dearg Bheag,14,14A,14.1,820,2690,19,435N,NH019811,NH0199581134,201995,881134,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,
206,1029,"http://www.streetmap.co.uk/newmap.srf?x=209600&y=875155&z=3&sv=209600,875155&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NH0960075155,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1029,Creag Rainich,14,14A,14.1,807,2648,19,435S,NH096751,NH0960075155,209600,875155,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,
207,1030,"http://www.streetmap.co.uk/newmap.srf?x=193030&y=876184&z=3&sv=193030,876184&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NG9303076184,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1030,Beinn Airigh Charr,14,14A,14.1,792,2598,19,433 434 435N,NG930761,NG9303076184,193030,876184,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,
208,1031,"http://www.streetmap.co.uk/newmap.srf?x=203295&y=888706&z=3&sv=203295,888706&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NH0329588706,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1031,Sail Mhor,14,14A,14.1,767,2516,19,435N,NH032887,NH0329588706,203295,888706,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,
209,1054,"http://www.streetmap.co.uk/newmap.srf?x=228083&y=871315&z=3&sv=228083,871315&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NH2808371315,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1054,Beinn Liath Mhor a'Ghiubhais Li [Beinn Liath Mhor a'Ghiuthais],14,14B,14.2,766,2513,20,436S,NH280713,NH2808371315,228083,871315,,,,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,
210,1073,"http://www.streetmap.co.uk/newmap.srf?x=222500&y=880525&z=3&sv=222500,880525&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NH2250080525,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1073,Beinn Enaiglair,15,15A,15.1,890,2920,20,436N,NH225805,NH2250080525,222500,880525,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,
211,1074,"http://www.streetmap.co.uk/newmap.srf?x=233849&y=887583&z=3&sv=233849,887583&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NH3384987583,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1074,Carn Ban,15,15A,15.1,842,2762,20,437N,NH338875,NH3384987583,233849,887583,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,
212,1095,"http://www.streetmap.co.uk/newmap.srf?x=248360&y=883334&z=3&sv=248360,883334&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NH4836083334,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1095,Carn Chuinneag,15,15B,15.2,839,2753,20,437N,NH483833,NH4836083334,248360,883334,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,
213,1096,"http://www.streetmap.co.uk/newmap.srf?x=236996&y=880112&z=3&sv=236996,880112&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NH3699680112,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1096,Beinn a'Chaisteil,15,15B,15.2,787,2582,20,437N,NH369801,NH3699680112,236996,880112,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,
214,1097,"http://www.streetmap.co.uk/newmap.srf?x=242960&y=864480&z=3&sv=242960,864480&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NH4296064480,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1097,Little Wyvis,15,15B,15.2,763,2503,20,437S,NH429644,NH4296064480,242960,864480,,,,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,
215,1124,"http://www.streetmap.co.uk/newmap.srf?x=231520&y=950697&z=3&sv=231520,950697&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NC3152050697,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1124,Foinaven [Foinne Bhein] - Ganu Mor,16,16B,16.2,911.05,2989,9,445,NC315506,NC3152050697,231520,950697,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,
216,1126,"http://www.streetmap.co.uk/newmap.srf?x=242655&y=933942&z=3&sv=242655,933942&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NC4265533942,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1126,Ben Hee,16,16B,16.2,873,2864,16,440N 447S,NC426339,NC4265533942,242655,933942,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,
217,1127,"http://www.streetmap.co.uk/newmap.srf?x=235720&y=939150&z=3&sv=235720,939150&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NC3572039150,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1127,Meallan Liath Coire Mhic Dhughaill,16,16B,16.2,801,2628,15,445,NC357391,NC3572039150,235720,939150,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,
218,1128,"http://www.streetmap.co.uk/newmap.srf?x=235061&y=955604&z=3&sv=235061,955604&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NC3506155604,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1128,Cranstackie,16,16B,16.2,801,2628,9,446,NC350556,NC3506155604,235061,955604,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,
219,1129,"http://www.streetmap.co.uk/newmap.srf?x=230275&y=946180&z=3&sv=230275,946180&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NC3027546180,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1129,Arkle,16,16B,16.2,787,2582,9,445,NC302461,NC3027546180,230275,946180,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,
220,1130,"http://www.streetmap.co.uk/newmap.srf?x=235261&y=944921&z=3&sv=235261,944921&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NC3526144921,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1130,Meall Horn,16,16B,16.2,777,2549,9,445,NC352449,NC3526144921,235261,944921,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,
221,1131,"http://www.streetmap.co.uk/newmap.srf?x=236195&y=957297&z=3&sv=236195,957297&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NC3619557297,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1131,Beinn Spionnaidh,16,16B,16.2,773,2536,9,446,NC361572,NC3619557297,236195,957297,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,
222,1132,"http://www.streetmap.co.uk/newmap.srf?x=257811&y=948861&z=3&sv=257811,948861&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NC5781148861,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1132,Ben Loyal - An Caisteal,16,16B,16.2,764.2,2507,10,447S,NC578488,NC5781148861,257811,948861,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,
223,1187,"http://www.streetmap.co.uk/newmap.srf?x=228672&y=915739&z=3&sv=228672,915739&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NC2867215739,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1187,Breabag,16,16E,16.5,815,2674,15,439E 442E,NC286157,NC2867215739,228672,915739,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,
224,1188,"http://www.streetmap.co.uk/newmap.srf?x=220938&y=929210&z=3&sv=220938,929210&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NC2093829210,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1188,Quinag - Sail Gharbh,16,16E,16.5,809,2654,15,442E,NC209292,NC2093829210,220938,929210,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,
225,1189,"http://www.streetmap.co.uk/newmap.srf?x=232027&y=929490&z=3&sv=232027,929490&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NC3202729490,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1189,Beinn Leoid,16,16E,16.5,792,2598,15,442E,NC320294,NC3202729490,232027,929490,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,
226,1190,"http://www.streetmap.co.uk/newmap.srf?x=219837&y=930426&z=3&sv=219837,930426&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NC1983730426,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1190,Quinag - Sail Gorm [Sail Ghorm],16,16E,16.5,776,2546,15,442W,NC198304,NC1983730426,219837,930426,,,,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,
227,1191,"http://www.streetmap.co.uk/newmap.srf?x=225486&y=926501&z=3&sv=225486,926501&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NC2548626501,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1191,Glas Bheinn,16,16E,16.5,776,2546,15,442E,NC254265,NC2548626501,225486,926501,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,
228,1192,"http://www.streetmap.co.uk/newmap.srf?x=220602&y=927746&z=3&sv=220602,927746&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NC2060227746,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1192,Quinag - Spidean Coinich,16,16E,16.5,764,2507,15,442E,NC206277,NC2060227746,220602,927746,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,
229,1205,"http://www.streetmap.co.uk/newmap.srf?x=216203&y=911919&z=3&sv=216203,911919&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NC1620311919,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1205,Cul Mor,16,16F,16.6,849,2785,15,439E,NC162119,NC1620311919,216203,911919,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,
230,1206,"http://www.streetmap.co.uk/newmap.srf?x=220289&y=918732&z=3&sv=220289,918732&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NC2028918732,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1206,Canisp,16,16F,16.6,847,2779,15,442E,NC202187,NC2028918732,220289,918732,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,
231,1207,"http://www.streetmap.co.uk/newmap.srf?x=214035&y=908834&z=3&sv=214035,908834&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NC1403508834,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1207,Cul Beag,16,16F,16.6,769,2523,15,439E,NC140088,NC1403508834,214035,908834,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,
232,1262,"http://www.streetmap.co.uk/newmap.srf?x=153125&y=823246&z=3&sv=153125,823246&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NG5312523246,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1262,Garbh-bheinn,17,17B,17.2,808,2651,32,411,NG531232,NG5312523246,153125,823246,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,
233,1263,"http://www.streetmap.co.uk/newmap.srf?x=151361&y=830005&z=3&sv=151361,830005&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NG5136130005,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1263,Glamaig - Sgurr Mhairi,17,17B,17.2,775,2543,24 32,411,NG513300,NG5136130005,151361,830005,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,
234,1292,"http://www.streetmap.co.uk/newmap.srf?x=139310&y=795223&z=3&sv=139310,795223&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NM3931095223,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1292,Askival,17,17D,17.4,812,2664,39,397,NM393952,NM3931095223,139310,795223,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,
235,1293,"http://www.streetmap.co.uk/newmap.srf?x=137841&y=794333&z=3&sv=137841,794333&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NM3784194333,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1293,Ainshval,17,17D,17.4,781,2562,39,397,NM378943,NM3784194333,137841,794333,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,
236,1302,"http://www.streetmap.co.uk/newmap.srf?x=167247&y=736218&z=3&sv=167247,736218&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NM6724736218,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1302,Dun da Ghaoithe,17,17E,17.5,766,2513,49,375E,NM672362,NM6724736218,167247,736218,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,
237,1303,"http://www.streetmap.co.uk/newmap.srf?x=162543&y=734709&z=3&sv=162543,734709&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NM6254334709,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1303,Beinn Talaidh,17,17E,17.5,761.7,2499,49,375E,NM625347,NM6254334709,162543,734709,,,,CORBETT,CORBETT,CORBETT,,,Reclassified as Graham
238,1449,"http://www.streetmap.co.uk/newmap.srf?x=149806&y=674947&z=3&sv=149806,674947&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NR4980674947,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1449,Beinn an Oir,17,20A,20.1,785,2575,60 61,355S,NR498749,NR4980674947,149806,674947,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,
239,1472,"http://www.streetmap.co.uk/newmap.srf?x=199139&y=641540&z=3&sv=199139,641540&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NR9913941540,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1472,Goatfell [Goat Fell],17,20C,20.3,874,2867,62 69,361N,NR991415,NR9913941540,199139,641540,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,
240,1473,"http://www.streetmap.co.uk/newmap.srf?x=196907&y=644324&z=3&sv=196907,644324&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NR9690744324,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1473,Caisteal Abhail,17,20C,20.3,859,2818,62 69,361N,NR969443,NR9690744324,196907,644324,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,
241,1474,"http://www.streetmap.co.uk/newmap.srf?x=196015&y=641275&z=3&sv=196015,641275&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NR9601541275,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1474,Beinn Tarsuinn,17,20C,20.3,826,2710,62 69,361N,NR960412,NR9601541275,196015,641275,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,
242,1475,"http://www.streetmap.co.uk/newmap.srf?x=197278&y=643111&z=3&sv=197278,643111&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NR9727843111,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1475,Cir Mhor,17,20C,20.3,799,2621,62 69,361N,NR972431,NR9727843111,197278,643111,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,
243,1587,"http://www.streetmap.co.uk/newmap.srf?x=115484&y=907302&z=3&sv=115484,907302&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NB1548407302,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1587,An Cliseam [Clisham],17,24B,24.2,799,2621,13 14,456,NB154073,NB1548407302,115484,907302,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,TOTAL,,,TOTAL,219,219,217,223,223,221,220,222,
"Ten-figure grid references of summits, information on summit features, details of surveys and more can be obtained from The Database of British and Irish Hills which may be downloaded from www.hills-database.co.uk",,,,,,,,,,,,,,,,,,,,,,,,,
